scanId,type,scantime,gpsvalid,gpslatitude,gpslongitude,gpsaccuracy,gpsage,bssid,ssid,rssi,wifilatitude/bluetoothlatitude,wifilongitude/bluetoothlongitude,wifiaccuracy/bluetoothaccuracy,cpslat,cpslon,cpsacc,wifiId/bluetoothId/bluetoothCellId,scannerId,wifiIndoor,freq,gpsaltitude,floor,btAge,clLat,clLon,clAcc,pressure,nbrofSteps,refpointLat,refpointLon,slamFloor,indoorWifiLatitude,indoorWifiLongitude,indoorWifiAccuracy,buildingId,scanIsIndoor
6141965,"wifi",2016-05-09 10:50:58,1,55.71164607,13.21291518,3,0,40:e3:d6:a9:60:50,"eduroam",-89,55.711795,13.213789,29,55.71170286021,13.213341983638,48,922739748,324,0,5260,103,,,55.7105276,13.2194252,1000,1018.56,12,0,0,1,,,,1708,0
6141965,"wifi",2016-05-09 10:50:58,1,55.71164607,13.21291518,3,0,c4:04:15:02:05:92,"AHUS",-89,55.710368,13.212608,90,55.71170286021,13.213341983638,48,441233439,324,0,2422,103,,,55.7105276,13.2194252,1000,1018.56,12,0,0,1,,,,1708,0
6141965,"wifi",2016-05-09 10:50:58,1,55.71164607,13.21291518,3,0,40:e3:d6:a9:60:51,"LU weblogon (key: lu2016-1)",-90,55.711836,13.213868,30,55.71170286021,13.213341983638,48,922739750,324,0,5260,103,,,55.7105276,13.2194252,1000,1018.56,12,0,0,1,,,,1708,0
6141965,"wifi",2016-05-09 10:50:58,1,55.71164607,13.21291518,3,0,40:e3:d6:d3:32:12,"LND_INTRA",-90,55.711609,13.213402,15,55.71170286021,13.213341983638,48,934038893,324,0,5600,103,,,55.7105276,13.2194252,1000,1018.56,12,0,0,1,,,,1708,0
6141965,"wifi",2016-05-09 10:50:58,1,55.71164607,13.21291518,3,0,40:e3:d6:d3:32:b0,"eduroam",-90,55.711559,13.213571,22,55.71170286021,13.213341983638,48,920111267,324,0,5300,103,,,55.7105276,13.2194252,1000,1018.56,12,0,0,1,,,,1708,0
6141965,"wifi",2016-05-09 10:50:58,1,55.71164607,13.21291518,3,0,40:e3:d6:d3:32:b1,"LU weblogon (key: lu2016-1)",-91,55.711575,13.213642,31,55.71170286021,13.213341983638,48,920111266,324,0,5300,103,,,55.7105276,13.2194252,1000,1018.56,12,0,0,1,,,,1708,0
6141966,"wifi",2016-05-09 10:52:06,1,55.71166267,13.21188936,3,0,00:22:07:1b:fa:f7,"OWNIT_F8",-75,55.711643,13.213158,48,55.71174878559,13.212576509333,51,268187421,324,0,2412,100,,,55.7114773,13.2204364,1400,1018.74,100,0,0,1,,,,1708,0
6141966,"wifi",2016-05-09 10:52:06,1,55.71166267,13.21188936,3,0,68:72:51:2e:c3:81,"",-75,55.709878,13.193090,649,55.71174878559,13.212576509333,51,808930415,324,0,2427,100,,,55.7114773,13.2204364,1400,1018.74,100,0,0,1,,,,1708,0
6141966,"wifi",2016-05-09 10:52:06,1,55.71166267,13.21188936,3,0,00:22:07:1b:fa:2e,"OWNIT_2F",-78,55.711657,13.213299,48,55.71174878559,13.212576509333,51,276006589,324,0,2412,100,,,55.7114773,13.2204364,1400,1018.74,100,0,0,1,,,,1708,0
6141966,"wifi",2016-05-09 10:52:06,1,55.71166267,13.21188936,3,0,40:e3:d6:a9:60:42,"LND_INTRA",-79,55.712057,13.213727,53,55.71174878559,13.212576509333,51,937650485,324,0,2462,100,,,55.7114773,13.2204364,1400,1018.74,100,0,0,1,,,,1708,0
